Estación,Volumen de muestra,Volumen de agua,Concentración,Sample 1 (FNU),Sample 2 (FNU),Sample 3 (FNU),Media,,,,,,,,,
0,50,0,486.0606061,936,902,920,919.3333333,,,,,,,,,
1,48.3,1.7,469.5345455,860,886,890,878.6666667,,Volumen del filtrado:,55,mililitros,,0.1376,0.1352,0.1354,--> M0
2,46,4,447.1757576,801,825,802,809.3333333,,Masa de sedimentos (M1):,0.02673333333,gramos,,0.1637,0.1621,0.1626,--> M1
3,44,6,427.7333333,751,766,753,756.6666667,,Concetración inicial:,486.0606061,mg/l,,0.1608,0.1588,0.1596,--> M2
4,42,8,408.2909091,716,725,705,715.3333333,,,,,,,,,
5,40,10,388.8484848,692,712,719,707.6666667,x,,,,,0.0261,0.0269,0.0272,--> M1-M0
6,38,12,369.4060606,633,641,618,630.6666667,,Volumen inicial:, ~ 3 litros,,,0.0029,0.0033,0.003,--> M2-M1
7,36,14,349.9636364,591,580,609,593.3333333,,(bidón),,,,,,,
8,34,16,330.5212121,562,546,547,551.6666667,,,,,,,,,
9,32,18,311.0787879,505,496,488,496.3333333,,,,,,,,,
10,30,20,291.6363636,474,457,463,464.6666667,,,,,,,,,
11,28,22,272.1939394,400,401,396,399,,,,,,,,,
12,26,24,252.7515152,392,375,380,382.3333333,,,,,,,,,
13,24,26,233.3090909,355,361,363,359.6666667,x,,,,,,,,
14,22,28,213.8666667,381,380,372,377.6666667,x,,,,,,,,
15,20,30,194.4242424,334,338,332,334.6666667,,,,,,,,,
16,18,32,174.9818182,305,299,300,301.3333333,,,,,,,,,
17,16,34,155.5393939,275,280,276,277,,,,,,,,,
18,14,36,136.0969697,203,201,203,202.3333333,,,,,,,,,
19,12,38,116.6545455,174,169,170,171,,,,,,,,,
20,10,40,97.21212121,121,122,119,120.6666667,,,,,,,,,
21,8,42,77.76969697,96.8,95.6,92.1,94.83333333,,,,,,,,,
22,6,44,58.32727273,100,99.5,97.2,98.9,,,,,,,,,
23,4,46,38.88484848,63.7,65.2,64.5,64.46666667,,,,,,,,,
24,2,48,19.44242424,31,31,31.2,31.06666667,,,,,,,,,
25,0,50,0,0.27,0.29,0.26,0.2733333333,,Pendiente,,,,,,,
26,,,,,,,,,1.841176648,0.5431309382,,,,,,
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
