SS_OBS501_I2016[FNU]Mean,Eco_ntu_suavizado
34.50833333,25.74121667
33.183,25.25361667
33.82181818,25.63963333
33.30727273,25.44385455
33.75222222,25.80216667
33.349,25.70058333
33.59,25.4771
33.54545455,25.54273846
33.31555556,25.98501667
35.006,25.9647
34.38727273,25.39270769
34.24454545,25.55836667
35.38454545,26.28164
34.09,26.24913333
34.68636364,26.16786667
35.33818182,26.77736667
34.298,26.51325
36.26363636,27.22433333
35.56727273,27.4275
35.8725,27.01747273
37.12545455,27.7932
36.21363636,27.640825
36.32545455,26.92635556
36.79777778,27.6713
36.62,27.57156364
37.26545455,27.61035
36.89818182,28.11826667
37.00636364,27.39425455
35.85181818,26.41166667
34.671,26.84508889
36.34,28.189375
36.02727273,26.818
34.88636364,25.74121667
35.74727273,26.5742
36.25545455,26.95731429
36.70090909,27.69568
35.93818182,27.63066667
37.68727273,27.884625
35.98909091,27.1837
35.348,28.14148571
36.647,27.20808
37.16,28.5246
37.18363636,27.823675
36.10090909,27.27077143
36.99636364,29.0122
37.08636364,27.1837
36.91454545,24.8676
35.02222222,26.421825
36.12363636,26.51325
35.68363636,26.87895
36,27.12829091
35.90636364,26.6961
37.38727273,28.037
35.823,26.818
34.27545455,26.89926667
36.24545455,26.88449091
36.20545455,26.91552
35.362,26.3304
35.342,26.62837778
36.39,26.818
36.32090909,26.98053333
34.77909091,26.15625714
36.00454545,26.91552
35.69454545,26.97314545
35.77727273,26.6961
35.63727273,26.6961
35.377,26.3304
36.01272727,26.3304
35.78272727,26.79583636
35.81272727,26.77736667
36.73454545,26.62296
37.48909091,26.88765714
37.55909091,26.5742
36.589,26.91552
38.00363636,26.65546667
36.46666667,26.52002222
36.08818182,26.50454286
37.21090909,26.5742
36.53909091,26.65546667
35.91090909,26.72048
37.39363636,26.67868571
36.12,26.5742
36.39363636,26.67172
35.323,26.87217778
36.81545455,26.77736667
36.78363636,26.87895
36.80777778,26.87895
36.437,26.818
36.32555556,26.78317143
35.99,26.848475
36.07666667,26.63515
36.401,26.76924
37.29,26.5742
36.661,26.665625
36.87090909,26.52002222
37.009,26.5742
36.44909091,26.818
37.53545455,26.91552
36.87,26.818
36.34,26.89926667
36.93090909,26.86676
36.807,26.818
37.05181818,26.89926667
37.45090909,26.604675
37.44,26.818
36.8225,26.5742
37.082,26.68501818
37.43875,26.52544
36.65,26.78317143
36.13,26.60902857
36.59,27.0618
36.98222222,26.68501818
36.99818182,26.818
37.01,26.818
37.298,27.0618
36.76545455,27.01304
36.56272727,26.98866
37.495,26.98053333
37.01818182,26.90665455
37.01272727,27.0618
38.30636364,26.818
37.01818182,26.74834286
37.11727273,27.0618
37.12727273,26.71641667
38.25818182,26.49293333
37.7,26.73673333
37.11363636,26.49293333
36.382,26.818
36.74181818,26.3304
36.62454545,25.8428
37.24181818,26.98053333
37.93,27.0618
37.25272727,26.60902857
37.49777778,27.0618
37.656,26.89926667
37.79454545,26.64069091
37.13454545,26.73673333
38.416,26.818
37.69444444,26.89926667
37.74,26.86676
38.86090909,26.49293333
37.32545455,26.6961
38.38727273,26.6961
38.239,26.51325
37.961,26.88765714
37.64181818,26.87217778
37.48444444,26.9399
36.825,27.01747273
38.99909091,26.5742
37.31545455,26.84508889
38.174,26.3304
38.04272727,26.0866
