"TOA5","CR800(IAFE2016)","CR800","37920","CR800.Std.28.02","CPU:OBSs501_Iafe2016_Iafe2017_csi.CR8","13263","CR800_I2016"
"TIMESTAMP","RECORD","BattV","PTemp_CR800_I2016","BS_OBS501_I2016","SS_OBS501_I2016","Temp_OBS501_I2016","WD_OBS501_I2016","BS_OBS501_I2017","SS_OBS501_I2017","Temp_OBS501_I2017","WD_OBS501_I2017","StationNames"
"TS","RN","Volts","Deg C","FBU","FNU","Deg C","unitless","FBU","FNU","Deg C","unitless",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-12-17 12:13:00",7385,12.35,30.57,22.71,34.26,25.47,0,"NAN",0,0,0,""
"2019-12-17 12:13:05",7386,12.35,30.57,23.12,31.4,25.49,0,"NAN",0,0,0,""
"2019-12-17 12:13:10",7387,12.35,30.6,24.11,33.42,25.5,0,"NAN",0,0,0,""
"2019-12-17 12:13:15",7388,12.35,30.64,23.58,33.6,25.5,0,"NAN",0,0,0,""
"2019-12-17 12:13:20",7389,12.35,30.64,24.77,38.24,25.5,0,"NAN",0,0,0,""
"2019-12-17 12:13:25",7390,12.35,30.67,23.71,36.13,25.5,0,"NAN",0,0,0,""
"2019-12-17 12:13:30",7391,12.35,30.74,23.44,33.14,25.49,0,"NAN",0,0,0,""
"2019-12-17 12:13:35",7392,12.35,30.78,23.32,33.26,25.49,0,"NAN",0,0,0,""
"2019-12-17 12:13:40",7393,12.35,30.81,24,34.21,25.49,0,"NAN",0,0,0,""
"2019-12-17 12:13:45",7394,12.35,30.81,22.98,32.55,25.48,0,"NAN",0,0,0,""
"2019-12-17 12:13:50",7395,12.35,30.84,22.83,34.4,25.48,0,"NAN",0,0,0,""
"2019-12-17 12:13:55",7396,12.35,30.88,22.39,33.21,25.47,0,"NAN",0,0,0,""
"2019-12-17 12:14:00",7397,12.35,30.88,22.38,32.82,25.47,0,"NAN",0,0,0,""
"2019-12-17 12:14:05",7398,12.35,30.88,22.53,30.34,25.47,0,"NAN",0,0,0,""
"2019-12-17 12:14:10",7399,12.35,30.88,22.74,31.92,25.46,0,"NAN",0,0,0,""
"2019-12-17 12:14:15",7400,12.34,30.91,22.72,33.27,25.46,0,"NAN",0,0,0,""
"2019-12-17 12:14:20",7401,12.34,30.95,23.18,32.15,25.45,0,"NAN",0,0,0,""
"2019-12-17 12:14:25",7402,12.35,30.95,23.29,34.04,25.45,0,"NAN",0,0,0,""
"2019-12-17 12:14:30",7403,12.35,30.95,23.33,33.86,25.45,0,"NAN",0,0,0,""
"2019-12-17 12:14:35",7404,12.35,30.95,22.87,33.39,25.45,0,"NAN",0,0,0,""
"2019-12-17 12:14:40",7405,12.35,30.95,22.63,33.07,25.44,0,"NAN",0,0,0,""
"2019-12-17 12:14:45",7406,12.34,30.95,23.13,30.83,25.44,0,"NAN",0,0,0,""
"2019-12-17 12:14:50",7407,12.34,30.98,24.34,37.14,25.43,0,"NAN",0,0,0,""
"2019-12-17 12:14:55",7408,12.34,30.98,24.53,35.62,25.43,0,"NAN",0,0,0,""
"2019-12-17 12:15:00",7409,12.34,30.98,23.31,33.83,25.42,0,"NAN",0,0,0,""
"2019-12-17 12:15:05",7410,12.34,30.98,23.3,34.76,25.42,0,"NAN",0,0,0,""
"2019-12-17 12:15:10",7411,12.34,30.98,23.13,31.94,25.41,0,"NAN",0,0,0,""
"2019-12-17 12:15:15",7412,12.34,30.98,23.35,35.41,25.41,0,"NAN",0,0,0,""
"2019-12-17 12:15:20",7413,12.34,30.98,23.13,33.52,25.41,0,"NAN",0,0,0,""
"2019-12-17 12:15:25",7414,12.34,31.02,22.64,32.53,25.4,0,"NAN",0,0,0,""
"2019-12-17 12:15:30",7415,12.34,31.02,22.92,33.75,25.4,0,"NAN",0,0,0,""
"2019-12-17 12:15:35",7416,12.34,31.02,22.78,32.52,25.39,0,"NAN",0,0,0,""
"2019-12-17 12:15:40",7417,12.34,31.02,23.13,33.48,25.39,0,"NAN",0,0,0,""
"2019-12-17 12:15:45",7418,12.34,31.02,23.12,33.32,25.39,0,"NAN",0,0,0,""
"2019-12-17 12:15:50",7419,12.34,31.02,23.29,34.67,25.39,0,"NAN",0,0,0,""
"2019-12-17 12:15:55",7420,12.34,31.02,23.5,33.18,25.38,0,"NAN",0,0,0,""
"2019-12-17 12:16:00",7421,12.34,31.05,23.35,34.75,25.38,0,"NAN",0,0,0,""
"2019-12-17 12:16:05",7422,12.34,31.05,22.99,32.36,25.38,0,"NAN",0,0,0,""
