Estación,,Sample 1(FNU),Sample 2(FNU),Sample 3(FNU),Media
estación01,,26.6,26.7,27.4,26.9
estación02,,25.5,25.2,25.1,25.26666667
estación03,,23.6,25,23.9,24.16666667
estación04,,22.1,22,22.3,22.13333333
estación05,,20.4,20,20,20.13333333
estación06,,17.9,17.9,17.8,17.86666667
estación07,,15.9,15.6,15.8,15.76666667
estación08,,13.6,13.4,13.6,13.53333333
estación09,,11.3,11.4,11.3,11.33333333
estación10,,9.81,9.61,9.58,9.666666667
estación11,,7.91,7.95,7.76,7.873333333
estación12,,7.12,7.12,7.11,7.116666667
estación13,,4.49,4.47,4.58,4.513333333
estación14,,2.92,2.81,2.73,2.82
estación15,,1.3,1.31,1.33,1.313333333
