wavelength,absorption
800.0,0.2586
798.7,0.2390
797.3,0.1268
796.0,0.1642
794.7,0.0878
793.3,0.1053
792.0,0.1946
790.7,0.0931
789.3,0.0535
788.0,0.0426
786.7,0.1888
785.3,0.0870
784.0,0.2495
782.7,0.0466
781.3,0.1447
780.0,0.0401
778.7,0.0099
777.3,0.1344
776.0,0.1576
774.7,0.0594
773.3,0.1047
772.0,0.0252
770.7,0.1061
769.3,0.0464
768.0,0.1269
766.7,0.0790
765.3,0.0622
764.0,0.0228
762.7,0.0911
761.3,0.0722
760.0,0.0259
758.7,0.1193
757.3,0.0842
756.0,-0.0638
754.7,0.0133
753.3,-0.0114
752.0,-0.0814
750.7,-0.0036
749.3,0.0523
748.0,0.0465
746.7,-0.0169
745.3,0.0650
744.0,0.0142
742.7,-0.0039
741.3,0.0716
740.0,-0.0544
738.7,0.0536
737.3,-0.0136
736.0,0.0187
734.7,-0.0493
733.3,-0.0176
732.0,-0.0079
730.7,0.0171
729.3,0.0211
728.0,0.0484
726.7,0.0085
725.3,-0.0185
724.0,0.0928
722.7,0.0756
721.3,0.0946
720.0,0.0597
718.7,0.1318
717.3,0.0805
716.0,0.0899
714.7,0.1503
713.3,0.1359
712.0,0.1217
710.7,0.2017
709.3,0.1919
708.0,0.2187
706.7,0.2323
705.3,0.2708
704.0,0.3550
702.7,0.3940
701.3,0.4649
700.0,0.5243
698.7,0.7433
697.3,0.9051
696.0,1.0644
694.7,1.2893
693.3,1.6171
692.0,2.0079
690.7,2.4203
689.3,3.0518
688.0,3.6655
686.7,4.3209
685.3,4.9998
684.0,5.7102
682.7,6.3214
681.3,7.0005
680.0,7.3692
678.7,7.8004
677.3,8.0837
676.0,8.2192
674.7,8.2363
673.3,8.2026
672.0,8.0743
670.7,7.9344
669.3,7.5410
668.0,7.1539
666.7,6.7503
665.3,6.2249
664.0,5.7950
662.7,5.2186
661.3,4.7816
660.0,4.2958
658.7,3.9659
657.3,3.6233
656.0,3.3252
654.7,3.0708
653.3,2.9172
652.0,2.7948
650.7,2.7953
649.3,2.6840
648.0,2.6626
646.7,2.6633
645.3,2.7039
644.0,2.6728
642.7,2.6723
641.3,2.6576
640.0,2.6747
638.7,2.6827
637.3,2.6188
636.0,2.6869
634.7,2.7085
633.3,2.6934
632.0,2.7309
630.7,2.7206
629.3,2.7338
628.0,2.7242
626.7,2.6266
625.3,2.6298
624.0,2.6328
622.7,2.6042
621.3,2.5737
620.0,2.5905
618.7,2.4893
617.3,2.5047
616.0,2.4673
614.7,2.3560
613.3,2.2691
612.0,2.2865
610.7,2.1823
609.3,2.1145
608.0,2.0763
606.7,2.0496
605.3,1.9853
604.0,1.9632
602.7,1.9694
601.3,1.9927
600.0,2.0145
598.7,2.0238
597.3,2.0926
596.0,2.0801
594.7,2.2017
593.3,2.2666
592.0,2.3020
590.7,2.3090
589.3,2.2109
588.0,2.3397
586.7,2.3020
585.3,2.3674
584.0,2.3452
582.7,2.3649
581.3,2.4143
580.0,2.3684
578.7,2.4250
577.3,2.4318
576.0,2.4733
574.7,2.5399
573.3,2.6361
572.0,2.7709
570.7,2.8149
569.3,2.8287
568.0,2.9514
566.7,3.1368
565.3,3.2058
564.0,3.4114
562.7,3.5444
561.3,3.7121
560.0,3.9773
558.7,4.1743
557.3,4.3049
556.0,4.5041
554.7,4.7639
553.3,4.9298
552.0,5.1427
550.7,5.3714
549.3,5.5483
548.0,5.8070
546.7,5.8631
545.3,6.0978
544.0,6.4130
542.7,6.4937
541.3,6.6648
540.0,6.8481
538.7,7.0497
537.3,7.1512
536.0,7.4936
534.7,7.5135
533.3,7.6650
532.0,7.7746
530.7,7.8985
529.3,8.0462
528.0,8.1263
526.7,8.2935
525.3,8.4338
524.0,8.4970
522.7,8.6970
521.3,8.7583
520.0,8.7788
518.7,8.9600
517.3,9.0825
516.0,9.1187
514.7,9.2724
513.3,9.2961
512.0,9.4015
510.7,9.5048
509.3,9.6476
508.0,9.6838
506.7,9.8762
505.3,10.0232
504.0,10.1076
502.7,10.2544
501.3,10.4783
500.0,10.5414
498.7,10.7140
497.3,10.9003
496.0,11.0350
494.7,11.0808
493.3,11.1989
492.0,11.3088
490.7,11.2782
489.3,11.3032
488.0,11.4000
486.7,11.4879
485.3,11.4595
484.0,11.6147
482.7,11.6392
481.3,11.5609
480.0,11.7337
478.7,11.8201
477.3,11.9527
476.0,11.9733
474.7,12.0688
473.3,12.2338
472.0,12.3589
470.7,12.4623
469.3,12.5231
468.0,12.5433
466.7,12.6631
465.3,12.5824
464.0,12.6916
462.7,12.7994
461.3,12.7204
460.0,12.7507
458.7,12.7421
457.3,12.7734
456.0,12.6390
454.7,12.6292
453.3,12.5407
452.0,12.4949
450.7,12.5773
449.3,12.3355
448.0,12.6919
446.7,12.6543
445.3,12.7302
444.0,12.9228
442.7,12.8752
441.3,13.0300
440.0,13.1167
438.7,12.9896
437.3,13.1002
436.0,13.0061
434.7,12.9224
433.3,12.8361
432.0,12.8561
430.7,12.5800
429.3,12.3967
428.0,12.3673
426.7,12.2410
425.3,12.0191
424.0,11.8437
422.7,11.9117
421.3,11.7685
420.0,11.6434
418.7,11.7765
417.3,11.4708
416.0,11.5438
414.7,11.4663
413.3,11.0870
412.0,11.2611
410.7,11.0733
409.3,10.9489
408.0,10.7706
406.7,10.8944
405.3,10.6798
404.0,10.6454
402.7,10.9140
401.3,10.7992
400.0,11.1022
