wavelength,fluorescence
645,145208.3
646,144761.4
647,156696.9
648,166844.7
649,179703.8
650,193678.1
651,210663.5
652,224292.6
653,243477.8
654,266299.7
655,292586.9
656,324081.3
657,362888.7
658,407237.7
659,472373.8
660,545691.8
661,640029.1
662,753924.3
663,907440
664,1077217
665,1326161
666,1617418
667,2012105
668,2464644
669,3067060
670,3751505
671,4669937
672,5689336
673,7064713
674,8599430
675,10583440
676,12551380
677,14925520
678,17282930
679,19843830
680,22174590
681,24800730
682,27375410
683,29999980
684,32341930
685,34776840
686,36940220
687,38932730
688,40457930
689,41725950
690,42515940
691,42861670
692,42809840
693,42145990
694,41118360
695,39401830
696,37491720
697,34957480
698,32438130
699,29509450
700,26905360
701,24244380
702,21953050
703,19716900
704,18065060
705,16310210
706,14980320
707,13700170
708,12661460
709,11716400
710,10916520
711,10240850
712,9750210
713,9280824
714,8898988
715,8592590
716,8415687
717,8241897
718,8140757
719,8057314
720,8006963
721,7965699
722,7973080
723,7971343
724,7983186
725,7995313
726,8028817
727,8078971
728,8126688
729,8197318
730,8281203
731,8365817
732,8477737
733,8610035
734,8765378
735,8932309
736,9098104
737,9286296
738,9468396
739,9688825
740,9862722
741,10025600
742,10166930
743,10273540
744,10380640
745,10427080
746,10463090
747,10423360
748,10357880
749,10245950
750,10095940
751,9941060
752,9791253
753,9573803
754,9353651
755,9092530
756,8862338
757,8605124
758,8321802
759,8058308
760,7797899
761,7518990
762,7230747
763,6897498
764,6650958
765,6324118
766,6042388
767,5701054
768,5413492
769,5056490
770,4754422
771,4395798
772,4104057
773,3787929
774,3551820
775,3270789
776,3048357
777,2815366
778,2624286
779,2425814
780,2277006
781,2126939
782,1978662
783,1880034
784,1783882
785,1683821
786,1599162
787,1515280
788,1472451
789,1421405
790,1371038
791,1327800
792,1289943
793,1244023
794,1213795
795,1181508
796,1168591
797,1136362
798,1122059
799,1104346
800,1088135
801,1068514
802,1059297
803,1050452
804,1034752
805,1030101
806,1015985
807,1009031
808,1003092
809,992361.6
810,974302.1
811,967919.1
812,969341.5
813,953950.1
814,933136.7
815,939054.6
816,927416.4
817,916775.8
818,909837.9
819,892646.6
820,886334.1
821,880109.3
822,860775.9
823,851480.9
824,840359.9
825,835807.4
