,date,time,2,ntu_counts,4,fl_counts,6
0,12/17/19,12:06:05,695,367,700,4130,534
1,12/17/19,12:06:10,695,366,700,4130,533
2,12/17/19,12:06:15,695,367,700,4130,533
3,12/17/19,12:06:20,695,366,700,4130,533
4,12/17/19,12:06:24,695,366,700,4130,533
5,12/17/19,12:06:29,695,366,700,4130,533
6,12/17/19,12:06:34,695,366,700,4130,532
7,12/17/19,12:06:39,695,366,700,4130,532
8,12/17/19,12:06:44,695,366,700,4130,532
9,12/17/19,12:06:49,695,365,700,4130,532
10,12/17/19,12:06:54,695,365,700,4130,532
11,12/17/19,12:06:58,695,364,700,4130,532
12,12/17/19,12:07:03,695,364,700,4130,532
13,12/17/19,12:07:08,695,352,700,4130,532
14,12/17/19,12:07:13,695,280,700,4130,532
15,12/17/19,12:07:18,695,280,700,4130,532
16,12/17/19,12:07:23,695,280,700,4130,532
17,12/17/19,12:07:28,695,280,700,4130,532
18,12/17/19,12:07:32,695,192,700,2982,532
19,12/17/19,12:07:37,695,111,700,1313,532
20,12/17/19,12:07:42,695,50,700,50,531
21,12/17/19,12:07:47,695,50,700,50,531
22,12/17/19,12:07:52,695,50,700,50,531
23,12/17/19,12:07:57,695,50,700,50,532
24,12/17/19,12:08:02,695,50,700,50,531
25,12/17/19,12:08:06,695,50,700,50,531
26,12/17/19,12:08:11,695,50,700,50,531
27,12/17/19,12:08:16,695,50,700,56,531
28,12/17/19,12:08:21,695,50,700,59,531
29,12/17/19,12:08:26,695,52,700,62,531
30,12/17/19,12:08:31,695,51,700,60,531
31,12/17/19,12:08:35,695,51,700,63,531
32,12/17/19,12:08:40,695,50,700,60,531
33,12/17/19,12:08:45,695,50,700,60,531
34,12/17/19,12:08:50,695,50,700,60,531
35,12/17/19,12:08:55,695,50,700,60,531
36,12/17/19,12:09:00,695,50,700,60,531
37,12/17/19,12:09:05,695,50,700,60,531
38,12/17/19,12:09:09,695,100,700,114,531
39,12/17/19,12:09:14,695,142,700,161,531
40,12/17/19,12:09:19,695,143,700,151,530
41,12/17/19,12:09:24,695,149,700,150,531
42,12/17/19,12:09:29,695,142,700,155,531
43,12/17/19,12:09:34,695,138,700,154,530
44,12/17/19,12:09:39,695,129,700,157,530
45,12/17/19,12:09:43,695,125,700,160,530
46,12/17/19,12:09:48,695,129,700,159,530
47,12/17/19,12:09:53,695,133,700,157,530
48,12/17/19,12:09:58,695,129,700,158,530
49,12/17/19,12:10:03,695,130,700,156,530
50,12/17/19,12:10:08,695,130,700,157,530
51,12/17/19,12:10:13,695,132,700,158,530
52,12/17/19,12:10:17,695,126,700,158,530
53,12/17/19,12:10:22,695,126,700,158,530
54,12/17/19,12:10:27,695,134,700,155,530
55,12/17/19,12:10:32,695,131,700,156,530
56,12/17/19,12:10:37,695,130,700,155,530
57,12/17/19,12:10:42,695,129,700,157,530
58,12/17/19,12:10:47,695,128,700,157,530
59,12/17/19,12:10:51,695,130,700,157,530
60,12/17/19,12:10:56,695,130,700,156,530
61,12/17/19,12:11:01,695,132,700,157,530
62,12/17/19,12:11:06,695,132,700,156,530
63,12/17/19,12:11:11,695,132,700,155,530
64,12/17/19,12:11:16,695,130,700,156,530
65,12/17/19,12:11:21,695,132,700,157,530
66,12/17/19,12:11:25,695,135,700,155,530
67,12/17/19,12:11:30,695,133,700,156,530
68,12/17/19,12:11:35,695,132,700,156,530
69,12/17/19,12:11:40,695,133,700,154,530
70,12/17/19,12:11:45,695,134,700,156,530
71,12/17/19,12:11:50,695,126,700,159,530
72,12/17/19,12:11:55,695,129,700,156,530
73,12/17/19,12:11:59,695,142,700,152,530
74,12/17/19,12:12:04,695,138,700,153,530
75,12/17/19,12:12:09,695,133,700,156,530
76,12/17/19,12:12:14,695,126,700,158,530
77,12/17/19,12:12:19,695,125,700,160,530
78,12/17/19,12:12:24,695,127,700,158,530
79,12/17/19,12:12:29,695,134,700,154,530
80,12/17/19,12:12:33,695,130,700,157,530
81,12/17/19,12:12:38,695,127,700,157,530
82,12/17/19,12:12:43,695,131,700,156,530
83,12/17/19,12:12:48,695,136,700,153,530
84,12/17/19,12:12:53,695,133,700,155,530
85,12/17/19,12:12:58,695,140,700,152,530
86,12/17/19,12:13:03,695,135,700,153,530
87,12/17/19,12:13:07,695,128,700,158,530
88,12/17/19,12:13:12,695,127,700,157,530
89,12/17/19,12:13:17,695,125,700,160,530
90,12/17/19,12:13:22,695,131,700,156,530
91,12/17/19,12:13:27,695,135,700,156,530
92,12/17/19,12:13:32,695,135,700,154,530
93,12/17/19,12:13:37,695,134,700,155,530
94,12/17/19,12:13:41,695,133,700,155,530
95,12/17/19,12:13:46,695,127,700,159,530
96,12/17/19,12:13:51,695,137,700,153,530
97,12/17/19,12:13:56,695,143,700,151,530
98,12/17/19,12:14:01,695,142,700,151,530
99,12/17/19,12:14:06,695,140,700,152,531
100,12/17/19,12:14:11,695,140,700,152,530
101,12/17/19,12:14:15,695,133,700,155,530
102,12/17/19,12:14:20,695,130,700,156,530
103,12/17/19,12:14:25,695,138,700,153,530
104,12/17/19,12:14:30,695,143,700,151,530
105,12/17/19,12:14:35,695,139,700,151,530
106,12/17/19,12:14:40,695,130,700,157,531
107,12/17/19,12:14:45,695,128,700,158,530
108,12/17/19,12:14:49,695,128,700,157,530
