,ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
1,SC6-LPT,25.0,02/10/2019,14:13:20.575,11.54,0.18,22.325,178.68,45.24,19303.55,1.0,82.24,19043.09,1.0,47.51,20910.61,1.0,57.88,19192.17,1.0,57.4,20576.56,1.0,45.77,18922.34,1.0
2,SC6-LPT,25.0,02/10/2019,14:13:25.018,11.56,0.15,22.39,178.69,85.46,19176.96,1.0,93.56,18798.84,1.0,50.91,20532.68,1.0,84.41,18968.65,1.0,64.62,20401.82,1.0,52.83,18688.97,1.0
3,SC6-LPT,25.0,02/10/2019,14:13:31.461,11.54,0.16,22.45,178.86,91.94,19142.61,1.0,98.27,18790.63,1.0,58.82,20463.22,1.0,95.16,18939.83,1.0,70.52,20357.18,1.0,57.87,18697.03,1.0
4,SC6-LPT,25.0,02/10/2019,14:13:36.907,11.54,0.16,22.49,178.92,96.43,19117.87,1.0,99.73,18777.07,1.0,58.57,20493.93,1.0,98.38,18943.67,1.0,73.98,20398.67,1.0,56.47,18652.26,1.0
5,SC6-LPT,25.0,02/10/2019,14:13:42.350,11.56,0.15,22.513,178.65,97.88,19151.64,1.0,99.0,18794.89,1.0,61.08,20515.92,1.0,99.28,18942.25,1.0,74.92,20374.95,1.0,57.43,18657.28,1.0
6,SC6-LPT,25.0,02/10/2019,14:13:47.794,11.56,0.27,22.53,178.84,100.89,19222.25,1.0,102.56,18788.89,1.0,62.63,20454.95,1.0,101.0,18924.53,1.0,73.33,20361.62,1.0,60.13,18687.51,1.0
7,SC6-LPT,25.0,02/10/2019,14:13:53.239,11.56,0.2,22.539,178.74,95.53,19242.39,1.0,101.09,18817.3,1.0,63.87,20504.44,1.0,99.41,18990.3,1.0,73.09,20416.97,1.0,60.13,18721.39,1.0
8,SC6-LPT,25.0,02/10/2019,14:13:58.682,11.56,0.29,22.548000000000002,178.88,99.21,19130.07,1.0,102.47,18829.11,1.0,63.8,20552.02,1.0,99.97,18989.57,1.0,71.66,20385.74,1.0,58.89,18681.57,1.0
9,SC6-LPT,25.0,02/10/2019,14:14:04.126,11.56,0.26,22.553,178.85,102.86,19290.89,1.0,103.06,18831.08,1.0,67.6,20591.45,1.0,103.63,19005.36,1.0,77.17,20418.01,1.0,63.83,18774.63,1.0
10,SC6-LPT,25.0,02/10/2019,14:14:09.571,11.56,0.23,22.558000000000003,178.77,102.15,19183.76,1.0,102.35,18826.85,1.0,62.79,20675.9,1.0,101.19,18997.54,1.0,77.96,20375.09,1.0,59.79,18724.68,1.0
11,SC6-LPT,25.0,02/10/2019,14:14:15.015,11.56,0.26,22.563000000000002,178.85,100.48,19181.2,1.0,102.32,18827.94,1.0,62.8,20651.04,1.0,101.9,19010.74,1.0,74.82,20402.56,1.0,60.7,18697.88,1.0
12,SC6-LPT,25.0,02/10/2019,14:14:20.459,11.54,0.23,22.568,178.78,103.41,19223.05,1.0,102.47,18827.1,1.0,66.35,20648.18,1.0,104.04,18990.58,1.0,76.94,20414.86,1.0,61.38,18662.25,1.0
13,SC6-LPT,25.0,02/10/2019,14:14:25.904,11.56,0.16,22.570999999999998,178.9,107.56,19084.4,1.0,105.68,18859.37,1.0,65.86,20645.87,1.0,102.53,18953.76,1.0,77.43,20380.01,1.0,62.44,18687.78,1.0
14,SC6-LPT,25.0,02/10/2019,14:14:31.348,11.54,0.22,22.572,178.79,102.04,19189.78,1.0,101.36,18837.69,1.0,63.22,20620.33,1.0,99.4,19020.52,1.0,74.75,20394.16,1.0,60.89,18627.11,1.0
15,SC6-LPT,25.0,02/10/2019,14:14:36.791,11.54,0.26,22.572,178.72,98.57,19149.6,1.0,104.1,18861.1,1.0,61.63,20532.08,1.0,103.5,18984.7,1.0,76.3,20383.87,1.0,64.44,18657.2,1.0
16,SC6-LPT,25.0,02/10/2019,14:14:42.236,11.56,0.14,22.576,178.8,103.54,19205.25,1.0,104.28,18858.2,1.0,65.46,20529.97,1.0,101.38,19029.94,1.0,77.82,20378.88,1.0,64.48,18701.93,1.0
17,SC6-LPT,25.0,02/10/2019,14:14:47.679,11.56,0.26,22.579,178.79,103.33,19149.94,1.0,106.76,18838.26,1.0,65.46,20555.1,1.0,104.16,18976.77,1.0,77.52,20407.5,1.0,63.54,18727.02,1.0
18,SC6-LPT,25.0,02/10/2019,14:14:53.123,11.56,0.26,22.581999999999997,178.79,99.49,19215.9,1.0,103.68,18839.26,1.0,64.8,20496.81,1.0,104.11,18958.89,1.0,76.23,20375.47,1.0,60.86,18655.78,1.0
19,SC6-LPT,25.0,02/10/2019,14:14:58.571,11.56,0.28,22.581999999999997,178.69,101.97,19212.71,1.0,103.71,18854.19,1.0,61.72,20465.8,1.0,101.92,19042.7,1.0,74.04,20396.09,1.0,62.34,18602.97,1.0
20,SC6-LPT,25.0,02/10/2019,14:15:04.014,11.54,0.27,22.585,178.97,98.91,19175.04,1.0,103.26,18846.11,1.0,65.6,20487.73,1.0,103.1,19010.59,1.0,75.91,20396.46,1.0,59.52,18643.86,1.0
21,SC6-LPT,25.0,02/10/2019,14:15:09.458,11.54,0.19,22.588,178.78,103.84,19271.25,1.0,106.07,18855.84,1.0,65.3,20499.08,1.0,106.8,18970.78,1.0,77.75,20397.25,1.0,63.11,18698.47,1.0
22,SC6-LPT,25.0,02/10/2019,14:15:15.904,11.56,0.25,22.590999999999998,178.85,105.17,19276.97,1.0,105.41,18876.25,1.0,67.51,20595.94,1.0,105.55,19034.42,1.0,78.47,20403.06,1.0,64.69,18704.7,1.0
23,SC6-LPT,25.0,02/10/2019,14:15:20.347,11.54,0.27,22.592,178.72,105.47,19308.86,1.0,105.59,18847.85,1.0,65.3,20564.2,1.0,105.43,19010.73,1.0,78.79,20400.47,1.0,64.48,18741.13,1.0
24,SC6-LPT,25.0,02/10/2019,14:15:25.791,11.56,0.28,22.595,178.73,98.89,19170.97,1.0,104.26,18847.03,1.0,63.57,20558.85,1.0,102.6,18997.96,1.0,74.97,20411.09,1.0,62.87,18687.88,1.0
25,SC6-LPT,25.0,02/10/2019,14:15:31.238,11.54,0.28,22.6,178.86,99.58,19262.79,1.0,105.09,18869.01,1.0,67.36,20660.22,1.0,101.58,19002.39,1.0,75.0,20409.59,1.0,61.79,18716.0,1.0
26,SC6-LPT,25.0,02/10/2019,14:15:36.682,11.54,0.23,22.599,178.86,97.72,19157.96,1.0,108.56,18877.57,1.0,69.07,20652.57,1.0,106.07,19049.18,1.0,76.84,20418.43,1.0,64.98,18656.15,1.0
27,SC6-LPT,25.0,02/10/2019,14:15:42.126,11.54,0.22,22.601,178.76,103.9,19325.91,1.0,107.38,18851.22,1.0,66.88,20636.31,1.0,106.64,19017.15,1.0,78.0,20389.76,1.0,64.22,18701.03,1.0
