In-situ Marine Optics
Optical Backscattering Logger
SC6-LPT (SN:0025)
FIRMWARE: LOG_V1.4d_SC6-LPT_V1
SD LOGFILE = LOG_0046.TXT
---------CONFIGURATION---------
NBURNS = 0
NDARK = 2
NREF = 2
NSIG = 6
DELAY = 100
WAVELENGTHS = [415.1,560.7,634.9,659.6,731.9,850.0]
FWHM = [8.4,8.6,9.6,8.6,7.6,8.4]
DEPTHSLOPE = 173.3439
DEPTHYINT = -55.9511
LOWBATT_TH = 9.0
VLOWBATT_TH = 8.5
---------OUTPUT FORMAT---------
ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
-------------------------------
SC6-LPT,0025,04/10/2019,16:06:32.676,11.30,-0.05,21.057,165.78,59.11,19690.38,1,41.23,19189.64,1,21.70,21104.40,1,39.72,19309.87,1,18.77,21046.28,1,19.09,19343.75,1
SC6-LPT,0025,04/10/2019,16:06:32.220,11.30,-0.03,21.060,165.20,82.83,19441.86,1,59.47,19049.53,1,34.72,20904.43,1,65.94,19230.12,1,34.28,20909.62,1,34.90,19192.64,1
SC6-LPT,0025,04/10/2019,16:06:33.756,11.30,0.03,21.249,176.83,86.50,19471.06,1,61.59,18992.28,1,38.68,20922.81,1,69.77,19183.32,1,40.48,20885.03,1,38.52,19163.84,1
SC6-LPT,0025,04/10/2019,16:06:33.299,11.30,0.02,21.252,176.26,91.38,19470.74,1,63.77,19027.46,1,42.01,20921.14,1,69.71,19180.60,1,38.97,20867.73,1,39.33,19143.51,1
SC6-LPT,0025,04/10/2019,16:06:34.834,11.30,-0.00,21.258,178.97,88.38,19598.59,1,68.51,18998.88,1,42.67,20869.54,1,77.55,19221.56,1,43.43,20911.31,1,58.75,19142.83,1
SC6-LPT,0025,04/10/2019,16:06:34.373,11.30,0.07,21.399,176.76,110.22,19468.00,1,131.56,18997.84,1,249.27,20868.54,1,131.69,19175.58,1,58.05,20879.60,1,55.62,19201.94,1
SC6-LPT,0025,04/10/2019,16:06:35.913,11.30,0.06,21.401,176.48,113.51,19575.44,1,140.33,18983.59,1,92.80,20842.30,1,108.67,19127.41,1,59.56,20829.31,1,57.35,19205.33,1
SC6-LPT,0025,04/10/2019,16:06:35.453,11.30,0.02,21.406,176.38,111.37,19484.67,1,132.81,19012.57,1,95.57,20882.16,1,115.41,19193.76,1,60.98,20875.98,1,54.29,19195.54,1
SC6-LPT,0025,04/10/2019,16:06:36.990,11.30,0.02,21.415,178.11,111.73,19437.27,1,130.48,18983.27,1,88.70,20898.46,1,117.57,19167.17,1,55.89,20837.02,1,56.07,19097.55,1
SC6-LPT,0025,04/10/2019,16:06:36.533,11.30,0.02,21.420,178.67,108.87,19544.20,1,126.46,18979.28,1,102.60,20869.27,1,113.18,19129.23,1,59.43,20905.55,1,54.96,19060.24,1
SC6-LPT,0025,04/10/2019,16:06:37.070,11.30,0.04,21.426,179.10,112.55,19456.14,1,140.61,19007.00,1,88.39,20898.91,1,113.21,19174.53,1,54.51,20834.84,1,56.48,19059.69,1
SC6-LPT,0025,04/10/2019,16:06:38.610,11.30,0.05,21.557,179.06,111.83,19584.19,1,134.69,18964.72,1,93.59,20839.90,1,118.11,19191.14,1,56.67,20897.97,1,54.20,19069.69,1
SC6-LPT,0025,04/10/2019,16:06:38.149,11.30,0.06,21.558,179.51,107.02,19447.19,1,122.28,19008.90,1,80.74,20817.74,1,110.51,19184.80,1,57.67,20849.03,1,56.26,19130.88,1
SC6-LPT,0025,04/10/2019,16:06:39.689,11.30,0.06,21.561,179.24,109.36,19416.03,1,124.30,18973.72,1,81.79,20736.51,1,110.00,19211.01,1,57.37,20906.83,1,56.62,19136.00,1
SC6-LPT,0025,04/10/2019,16:06:39.226,11.30,0.06,21.566,178.80,107.93,19574.76,1,136.46,18981.05,1,80.24,20755.91,1,109.00,19202.27,1,56.83,20837.44,1,55.13,19057.34,1
SC6-LPT,0025,04/10/2019,16:06:40.770,11.30,-0.01,21.568,178.96,108.85,19549.60,1,126.58,18988.74,1,87.47,20725.32,1,113.51,19201.14,1,58.52,20885.56,1,54.40,19148.22,1
SC6-LPT,0025,04/10/2019,16:06:40.308,11.30,0.04,21.574,178.88,109.61,19553.71,1,133.53,18983.99,1,85.54,20773.12,1,107.17,19187.16,1,61.24,20847.80,1,55.52,19155.83,1
SC6-LPT,0025,04/10/2019,16:06:41.847,11.30,0.05,21.577,178.25,113.12,19546.41,1,141.02,19008.09,1,84.35,20872.43,1,108.41,19162.75,1,58.24,20840.94,1,58.17,19170.33,1
SC6-LPT,0025,04/10/2019,16:06:41.386,11.30,0.07,21.580,178.29,110.54,19483.50,1,129.91,18968.33,1,101.04,20752.24,1,105.81,19137.59,1,61.55,20863.75,1,56.54,19179.61,1
SC6-LPT,0025,04/10/2019,16:06:42.926,11.30,-0.00,21.586,178.52,110.09,19437.46,1,123.12,18984.62,1,82.01,20798.24,1,104.64,19207.48,1,60.84,20868.82,1,56.30,19155.20,1
SC6-LPT,0025,04/10/2019,16:06:42.464,11.30,0.02,21.588,178.58,108.75,19508.63,1,125.32,18959.02,1,82.75,20786.30,1,106.05,19146.69,1,55.83,20856.90,1,56.17,19096.68,1
SC6-LPT,0025,04/10/2019,16:06:43.007,11.30,0.00,21.591,178.42,111.82,19357.14,1,122.70,18987.11,1,82.26,20911.22,1,112.34,19194.04,1,61.31,20867.51,1,55.63,19098.57,1
SC6-LPT,0025,04/10/2019,16:06:43.544,11.30,0.07,21.597,178.62,109.86,19460.40,1,133.27,18987.50,1,91.98,20859.17,1,106.91,19204.13,1,61.29,20904.12,1,58.15,19109.84,1
SC6-LPT,0025,04/10/2019,16:06:44.084,11.30,0.05,21.602,178.72,107.75,19450.73,1,125.08,18950.18,1,93.03,20840.30,1,107.24,19163.17,1,56.51,20876.92,1,56.89,19049.39,1
SC6-LPT,0025,04/10/2019,16:06:45.625,11.30,0.06,21.604,178.42,112.05,19541.79,1,126.49,18978.38,1,86.95,20865.60,1,118.50,19192.76,1,55.67,20857.17,1,54.93,19092.19,1
SC6-LPT,0025,04/10/2019,16:06:45.165,11.30,0.07,21.612,178.28,110.69,19389.61,1,134.60,18971.09,1,89.56,20841.17,1,118.84,19142.46,1,55.17,20823.02,1,53.18,19154.83,1
SC6-LPT,0025,04/10/2019,16:06:46.702,11.30,0.07,21.614,178.40,112.24,19426.47,1,119.96,18969.64,1,91.18,20789.66,1,118.78,19175.30,1,56.00,20854.80,1,54.16,19111.42,1
SC6-LPT,0025,04/10/2019,16:06:46.246,11.30,0.02,21.618,178.41,108.56,19420.51,1,127.82,18964.21,1,86.73,20787.63,1,110.67,19173.05,1,57.83,20834.95,1,53.38,19140.93,1
SC6-LPT,0025,04/10/2019,16:06:47.783,11.33,0.03,21.623,178.48,112.54,19528.69,1,119.91,18997.86,1,82.86,20882.39,1,110.33,19186.89,1,58.51,20853.91,1,55.08,19198.41,1
SC6-LPT,0025,04/10/2019,16:06:47.323,11.30,0.05,21.627,178.42,113.16,19440.99,1,116.38,18950.87,1,89.82,20747.66,1,107.68,19189.11,1,59.87,20881.39,1,55.07,19159.23,1
SC6-LPT,0025,04/10/2019,16:06:48.864,11.30,0.07,21.630,178.33,111.73,19549.09,1,126.08,18978.69,1,83.83,20887.82,1,110.50,19139.91,1,59.71,20831.92,1,54.80,19094.18,1
SC6-LPT,0025,04/10/2019,16:06:48.405,11.30,0.08,21.636,178.30,111.92,19442.07,1,126.82,18976.84,1,96.80,20887.37,1,113.67,19152.33,1,60.01,20887.11,1,52.69,19109.57,1
SC6-LPT,0025,04/10/2019,16:06:49.942,11.30,0.00,21.639,178.27,111.38,19525.64,1,131.49,18997.81,1,97.32,20917.79,1,111.84,19168.93,1,56.04,20831.00,1,58.11,19078.08,1
SC6-LPT,0025,04/10/2019,16:06:49.484,11.30,0.02,21.641,177.93,111.76,19419.17,1,139.03,18958.96,1,86.62,20884.11,1,111.17,19174.37,1,55.35,20837.58,1,57.18,19087.08,1
SC6-LPT,0025,04/10/2019,16:06:50.021,11.30,0.02,21.646,178.04,111.68,19392.71,1,137.11,18959.50,1,84.00,20804.30,1,113.33,19146.97,1,58.36,20874.49,1,54.65,19078.84,1
SC6-LPT,0025,04/10/2019,16:06:50.561,11.30,0.04,21.649,178.24,112.33,19388.23,1,124.07,18979.06,1,85.97,20785.16,1,106.01,19155.63,1,60.24,20873.02,1,58.48,19110.11,1
SC6-LPT,0025,04/10/2019,16:06:51.103,11.30,0.09,21.651,177.76,109.66,19397.81,1,129.46,18969.37,1,96.47,20894.97,1,115.83,19189.83,1,59.40,20832.85,1,57.37,19093.00,1
SC6-LPT,0025,04/10/2019,16:06:52.643,11.30,0.03,21.654,178.26,108.60,19485.39,1,126.34,18974.39,1,93.07,20912.26,1,113.00,19132.11,1,59.40,20847.03,1,56.40,19058.18,1
SC6-LPT,0025,04/10/2019,16:06:52.180,11.30,0.06,21.655,178.27,108.96,19470.34,1,127.95,18955.39,1,85.51,20764.46,1,108.86,19211.64,1,56.22,20853.62,1,55.77,19083.77,1
SC6-LPT,0025,04/10/2019,16:06:53.724,11.30,-0.00,21.660,178.25,107.08,19480.65,1,129.65,18969.23,1,87.76,20716.59,1,106.56,19150.14,1,59.34,20845.90,1,54.24,19207.75,1
SC6-LPT,0025,04/10/2019,16:06:53.261,11.30,0.05,21.664,178.07,107.18,19550.02,1,139.12,18954.88,1,89.28,20862.34,1,109.52,19182.45,1,56.69,20833.35,1,55.96,19132.38,1
SC6-LPT,0025,04/10/2019,16:06:54.801,11.30,0.03,21.667,178.14,110.65,19542.07,1,126.86,18978.24,1,93.26,20805.42,1,111.58,19168.18,1,58.02,20896.22,1,57.40,19077.94,1
SC6-LPT,0025,04/10/2019,16:06:54.342,11.30,0.01,21.670,177.83,110.77,19524.70,1,128.02,18973.76,1,125.31,20741.51,1,110.84,19148.28,1,56.33,20822.84,1,54.58,19128.89,1
SC6-LPT,0025,04/10/2019,16:06:55.883,11.30,0.06,21.672,177.82,108.75,19572.88,1,126.88,18926.34,1,84.47,20836.00,1,113.17,19185.66,1,56.68,20842.98,1,55.95,19059.94,1
SC6-LPT,0025,04/10/2019,16:06:55.420,11.30,0.08,21.673,178.05,111.24,19465.42,1,127.79,18971.36,1,86.20,20867.54,1,110.84,19199.51,1,54.68,20873.23,1,56.14,19042.53,1
SC6-LPT,0025,04/10/2019,16:06:56.963,11.30,0.06,21.677,178.00,111.83,19563.25,1,126.13,18968.73,1,85.14,20821.62,1,110.18,19160.12,1,65.53,20869.74,1,54.73,19065.64,1
SC6-LPT,0025,04/10/2019,16:06:56.501,11.30,0.00,21.678,177.76,109.82,19467.15,1,125.12,18961.67,1,83.53,20807.81,1,113.34,19140.67,1,56.87,20873.33,1,56.28,19096.26,1
SC6-LPT,0025,04/10/2019,16:06:57.041,11.30,0.01,21.679,177.61,110.78,19526.90,1,124.59,18982.86,1,84.59,20868.04,1,112.67,19146.17,1,57.00,20837.69,1,56.44,19153.12,1
SC6-LPT,0025,04/10/2019,16:06:58.582,11.30,0.05,21.680,177.72,112.35,19424.32,1,124.08,18963.48,1,87.99,20935.58,1,118.16,19128.30,1,59.34,20837.58,1,52.17,19130.97,1
SC6-LPT,0025,04/10/2019,16:06:58.123,11.30,0.06,21.680,177.50,109.34,19427.00,1,123.96,18953.21,1,86.26,20783.36,1,109.84,19201.32,1,62.27,20815.47,1,55.64,19111.24,1
SC6-LPT,0025,04/10/2019,16:06:59.660,11.30,0.00,21.679,177.62,110.84,19519.86,1,125.13,18968.01,1,89.89,20743.68,1,109.34,19185.26,1,62.34,20817.12,1,57.35,19077.21,1
