In-situ Marine Optics
Optical Backscattering Logger
SC6-LPT (SN:0025)
FIRMWARE: LOG_V1.4d_SC6-LPT_V1
SD LOGFILE = LOG_0034.TXT
---------CONFIGURATION---------
NBURNS = 0
NDARK = 2
NREF = 2
NSIG = 6
DELAY = 100
WAVELENGTHS = [415.1,560.7,634.9,659.6,731.9,850.0]
FWHM = [8.4,8.6,9.6,8.6,7.6,8.4]
DEPTHSLOPE = 173.3439
DEPTHYINT = -55.9511
LOWBATT_TH = 9.0
VLOWBATT_TH = 8.5
---------OUTPUT FORMAT---------
ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
-------------------------------
SC6-LPT,0025,04/10/2019,15:48:25.676,11.33,-0.05,20.353,96.45,61.10,19641.94,1,50.24,19048.87,1,35.09,21019.89,1,75.51,19278.16,1,28.93,21017.95,1,24.21,19180.24,1
SC6-LPT,0025,04/10/2019,15:48:26.220,11.33,-0.07,20.358,99.03,82.22,19521.38,1,62.54,18897.53,1,41.91,20755.75,1,72.51,19156.46,1,36.43,20837.60,1,32.60,19103.69,1
SC6-LPT,0025,04/10/2019,15:48:26.757,11.33,-0.06,20.495,86.41,88.31,19402.68,1,65.74,18899.52,1,47.03,20744.63,1,75.37,19127.50,1,37.36,20811.91,1,39.32,19048.27,1
SC6-LPT,0025,04/10/2019,15:48:27.300,11.33,-0.07,20.501,115.42,88.40,19381.21,1,61.02,18852.64,1,45.17,20693.76,1,74.10,19095.93,1,41.57,20827.34,1,37.98,19105.60,1
SC6-LPT,0025,04/10/2019,15:48:27.835,11.33,0.06,20.647,154.10,88.27,19328.99,1,60.06,18872.24,1,39.44,20707.24,1,71.57,19160.72,1,38.94,20797.60,1,37.22,19058.65,1
SC6-LPT,0025,04/10/2019,15:48:28.373,11.33,0.06,20.654,177.58,87.98,19316.67,1,61.19,18862.88,1,37.77,20799.23,1,72.10,19086.37,1,42.95,20786.59,1,36.64,19059.20,1
SC6-LPT,0025,04/10/2019,15:48:28.912,11.33,0.06,20.659,175.58,89.17,19301.41,1,65.46,18841.48,1,40.60,20754.99,1,68.26,19084.01,1,41.55,20827.51,1,39.09,19044.20,1
SC6-LPT,0025,04/10/2019,15:48:29.452,11.33,0.07,20.666,173.80,93.06,19314.57,1,66.95,18876.26,1,43.91,20765.70,1,73.06,19117.19,1,43.97,20805.20,1,37.92,19021.29,1
SC6-LPT,0025,04/10/2019,15:48:29.989,11.33,0.07,20.809,173.96,91.09,19456.86,1,64.94,18846.34,1,40.27,20797.19,1,71.10,19099.62,1,42.90,20794.65,1,41.97,18997.94,1
SC6-LPT,0025,04/10/2019,15:48:30.532,11.33,0.06,20.811,172.26,97.73,19312.34,1,75.53,18848.29,1,49.98,20794.61,1,89.24,19075.48,1,62.99,20784.52,1,3396.21,21506.49,1
SC6-LPT,0025,04/10/2019,15:48:31.069,11.33,-0.01,20.814,178.45,102.61,19428.63,1,127.18,18860.93,1,70.66,20838.90,1,98.53,19070.56,1,52.05,20788.86,1,2607.79,18353.40,1
SC6-LPT,0025,04/10/2019,15:48:31.609,11.33,-0.07,20.822,177.73,107.18,19320.54,1,111.31,18840.04,1,71.82,20732.37,1,99.24,19139.30,1,53.72,20765.66,1,34.48,19074.13,1
