In-situ Marine Optics
Optical Backscattering Logger
SC6-LPT (SN:0025)
FIRMWARE: LOG_V1.4d_SC6-LPT_V1
SD LOGFILE = LOG_0002.TXT
---------CONFIGURATION---------
NBURNS = 0
NDARK = 2
NREF = 2
NSIG = 6
DELAY = 10000
WAVELENGTHS = [415.1,560.7,634.9,659.6,731.9,850.0]
FWHM = [8.4,8.6,9.6,8.6,7.6,8.4]
DEPTHSLOPE = 173.3439
DEPTHYINT = -55.7360
LOWBATT_TH = 9.0
VLOWBATT_TH = 8.5
---------OUTPUT FORMAT---------
ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
-------------------------------
SC6-LPT,0025,20/09/2019,19:11:22.570,11.98,0.23,23.563,89.69,1852.06,16821.54,1,637.63,16793.05,1,2075.03,18104.22,1,1314.01,16963.38,1,836.97,17970.35,1,1551.73,16196.45,1
SC6-LPT,0025,20/09/2019,19:11:33.013,12.00,0.24,23.657,87.62,78.87,18903.51,1,68.67,18731.01,1,25.73,20074.83,1,48.94,18722.29,1,27.07,19620.45,1,20.11,17953.65,1
SC6-LPT,0025,20/09/2019,19:11:43.455,11.98,0.16,23.699,87.53,112.52,19134.69,1,90.30,18907.47,1,41.00,20312.79,1,79.72,18884.63,1,43.87,19738.50,1,37.31,17998.44,1
SC6-LPT,0025,20/09/2019,19:11:54.900,12.00,0.28,23.720,87.50,115.66,19102.41,1,96.23,18892.25,1,46.51,20310.03,1,86.31,18840.94,1,47.57,19756.61,1,44.36,17985.61,1
SC6-LPT,0025,20/09/2019,19:12:04.344,12.00,0.13,23.734,87.40,112.82,19029.59,1,96.46,18891.64,1,48.43,20321.75,1,87.84,18874.06,1,49.36,19766.65,1,46.81,18024.13,1
SC6-LPT,0025,20/09/2019,19:12:15.788,12.00,0.22,23.741,87.45,140.29,19033.93,1,373.63,18912.35,1,224.75,20361.68,1,654.81,18841.85,1,492.86,19795.89,1,626.46,18082.95,1
SC6-LPT,0025,20/09/2019,19:12:25.234,12.00,0.15,23.746,87.58,119.13,19046.70,1,159.19,18932.05,1,70.67,20241.68,1,115.94,18905.29,1,119.88,19749.82,1,139.39,18031.72,1
SC6-LPT,0025,20/09/2019,19:12:36.678,12.00,0.26,23.753,87.33,113.88,19099.61,1,104.41,18915.19,1,53.35,20172.86,1,91.19,18847.83,1,69.54,19765.74,1,60.56,18067.62,1
SC6-LPT,0025,20/09/2019,19:12:46.121,12.00,0.22,23.758,87.72,115.47,19128.26,1,99.09,18948.62,1,50.97,20240.22,1,87.07,18891.64,1,57.21,19787.67,1,53.88,18102.11,1
