,ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
1,SC6-LPT,25.0,18/09/2019,21:32:00.690,12.33,0.27,25.685,89.06,121.77,18762.78,1.0,74.65,18789.09,1.0,29.67,20088.48,1.0,95.92,18608.61,1.0,34.1,18536.2,1.0,35.84,16868.49,1.0
2,SC6-LPT,25.0,18/09/2019,21:32:01.234,12.33,0.25,25.691,89.34,134.93,18677.95,1.0,97.47,18587.25,1.0,49.05,19706.56,1.0,114.77,18403.69,1.0,57.04,18414.38,1.0,58.56,16705.29,1.0
3,SC6-LPT,25.0,18/09/2019,21:32:01.772,12.33,0.24,25.826999999999998,86.58,146.31,18519.34,1.0,96.85,18549.48,1.0,52.3,19762.06,1.0,119.41,18430.73,1.0,59.25,18385.79,1.0,61.65,16646.09,1.0
4,SC6-LPT,25.0,18/09/2019,21:32:02.316,12.33,0.23,25.831999999999997,86.5,147.48,18587.82,1.0,99.63,18580.42,1.0,56.48,19765.14,1.0,127.02,18404.11,1.0,63.8,18387.89,1.0,63.05,16646.1,1.0
5,SC6-LPT,25.0,18/09/2019,21:32:02.853,12.33,0.24,25.839000000000002,84.43,147.46,18637.14,1.0,98.96,18549.33,1.0,54.35,19794.08,1.0,124.87,18396.0,1.0,64.56,18370.19,1.0,61.96,16651.31,1.0
6,SC6-LPT,25.0,18/09/2019,21:32:03.393,12.33,0.23,26.011999999999997,83.78,146.03,18655.81,1.0,104.3,18546.99,1.0,55.13,19843.63,1.0,124.06,18459.34,1.0,63.48,18358.01,1.0,64.22,16663.4,1.0
7,SC6-LPT,25.0,18/09/2019,21:32:04.932,12.33,0.22,26.014,83.73,146.93,18568.84,1.0,100.59,18538.45,1.0,56.75,19787.37,1.0,131.38,18418.39,1.0,65.54,18378.01,1.0,63.82,16631.38,1.0
8,SC6-LPT,25.0,18/09/2019,21:32:04.471,12.33,0.22,26.02,83.65,149.96,18522.89,1.0,103.24,18562.3,1.0,57.98,19713.75,1.0,128.1,18409.02,1.0,67.44,18357.81,1.0,63.14,16662.5,1.0
9,SC6-LPT,25.0,18/09/2019,21:32:05.007,12.33,0.25,26.03,83.43,148.48,18695.83,1.0,101.49,18568.61,1.0,57.16,19743.49,1.0,124.88,18404.26,1.0,66.86,18381.07,1.0,63.14,16633.52,1.0
10,SC6-LPT,25.0,18/09/2019,21:32:05.550,12.33,0.22,26.035,82.06,148.17,18540.44,1.0,99.43,18528.4,1.0,57.63,19646.11,1.0,132.57,18437.27,1.0,66.45,18368.93,1.0,63.63,16575.55,1.0
