,ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
1,SC6-LPT,25.0,14/08/2019,17:33:23.664,11.89,-0.41,22.631999999999998,114.86,63.25,18979.38,1.0,56.95,18876.88,1.0,23.4,20417.48,1.0,750.57,18704.04,1.0,89.47,18964.7,1.0,135.8,18862.08,1.0
2,SC6-LPT,25.0,14/08/2019,17:33:23.206,11.89,-0.25,22.768,91.88,78.43,18783.62,1.0,393.75,18707.72,1.0,364.38,20113.57,1.0,430.31,18531.05,1.0,464.09,18792.88,1.0,162.26,18659.29,1.0
3,SC6-LPT,25.0,14/08/2019,17:33:24.743,11.89,-0.24,22.77,79.35,91.13,18773.93,1.0,224.32,18694.44,1.0,374.19,19989.53,1.0,186.69,18491.62,1.0,92.92,18791.17,1.0,102.66,18683.18,1.0
4,SC6-LPT,25.0,14/08/2019,17:33:24.286,11.89,-0.24,22.912,73.92,85.95,18801.94,1.0,213.19,18703.54,1.0,359.1,19968.28,1.0,204.46,18527.73,1.0,98.15,18781.5,1.0,102.79,18597.81,1.0
5,SC6-LPT,25.0,14/08/2019,17:33:25.823,11.89,-0.31,22.915,73.0,85.81,18796.46,1.0,227.73,18668.73,1.0,365.88,19991.0,1.0,216.12,18513.03,1.0,104.06,18805.83,1.0,103.79,18685.29,1.0
6,SC6-LPT,25.0,14/08/2019,17:33:25.362,11.89,-0.16,22.919,71.52,89.32,18732.61,1.0,233.6,18697.08,1.0,367.62,19999.27,1.0,214.3,18530.23,1.0,102.88,18767.32,1.0,105.39,18718.99,1.0
7,SC6-LPT,25.0,14/08/2019,17:33:26.901,11.89,-0.32,22.930999999999997,69.94,86.15,18877.42,1.0,229.33,18687.79,1.0,381.34,20080.36,1.0,185.13,18506.38,1.0,60.83,18754.5,1.0,148.35,18707.48,1.0
8,SC6-LPT,25.0,14/08/2019,17:33:26.439,11.89,-0.16,23.066,43.44,86.91,18834.51,1.0,162.83,18669.62,1.0,557.21,20095.2,1.0,116.2,18505.39,1.0,56.9,18800.93,1.0,180.48,18686.14,1.0
9,SC6-LPT,25.0,14/08/2019,17:33:27.976,11.89,-0.31,23.069000000000003,37.37,88.16,18913.61,1.0,119.17,18701.46,1.0,512.19,20130.94,1.0,96.86,18481.94,1.0,56.9,18778.39,1.0,215.86,18651.13,1.0
10,SC6-LPT,25.0,14/08/2019,17:33:27.517,11.89,-0.19,23.072,33.42,82.76,18816.44,1.0,275.1,18684.06,1.0,832.65,20074.21,1.0,112.05,18483.61,1.0,44.76,18760.91,1.0,210.41,18702.21,1.0
