In-situ Marine Optics
Optical Backscattering Logger
SC6-LPT (SN:0025)
FIRMWARE: LOG_V1.4d_SC6-LPT_V1
SD LOGFILE = LOG_0030.TXT
---------CONFIGURATION---------
NBURNS = 0
NDARK = 2
NREF = 2
NSIG = 6
DELAY = 5000
WAVELENGTHS = [415.1,560.7,634.9,659.6,731.9,850.0]
FWHM = [8.4,8.6,9.6,8.6,7.6,8.4]
DEPTHSLOPE = 173.3439
DEPTHYINT = -55.9511
LOWBATT_TH = 9.0
VLOWBATT_TH = 8.5
---------OUTPUT FORMAT---------
ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
-------------------------------
SC6-LPT,0025,02/10/2019,16:30:54.582,11.35,0.01,24.301,177.79,85.32,19466.42,1,nan,16785.43,0,nan,18606.08,0,86.36,19355.52,1,41.04,20399.12,1,42.22,18739.81,1
SC6-LPT,0025,02/10/2019,16:31:00.023,11.35,0.08,24.468,178.45,120.40,19277.61,1,nan,16725.46,0,nan,18601.11,0,113.21,19209.37,1,51.72,20231.29,1,54.39,18574.21,1
SC6-LPT,0025,02/10/2019,16:31:05.464,11.35,0.02,24.506,178.35,121.59,19313.91,1,nan,16703.17,0,nan,18589.93,0,121.03,19158.91,1,56.42,20210.58,1,57.38,18526.06,1
SC6-LPT,0025,02/10/2019,16:31:11.907,11.35,0.08,24.538,178.59,123.78,19356.47,1,nan,16717.04,0,nan,18697.82,0,117.89,19163.92,1,59.94,20206.20,1,56.60,18574.34,1
SC6-LPT,0025,02/10/2019,16:31:16.349,11.35,0.04,24.564,178.65,124.96,19232.46,1,nan,16755.12,0,nan,18634.19,0,117.50,19189.91,1,59.18,20249.48,1,59.21,18552.91,1
SC6-LPT,0025,02/10/2019,16:31:22.791,11.35,0.01,24.583,177.72,127.05,19320.45,1,nan,16731.76,0,nan,18543.96,0,119.84,19158.29,1,59.01,20257.88,1,57.45,18543.26,1
SC6-LPT,0025,02/10/2019,16:31:27.235,11.35,0.02,24.598,177.47,124.71,19334.37,1,nan,16730.50,0,nan,18690.64,0,120.85,19148.49,1,60.67,20232.33,1,57.86,18471.58,1
SC6-LPT,0025,02/10/2019,16:31:33.677,11.35,0.01,24.609,178.26,127.44,19365.29,1,nan,16728.22,0,nan,18651.98,0,118.68,19167.91,1,62.18,20245.74,1,57.97,18476.02,1
SC6-LPT,0025,02/10/2019,16:31:38.119,11.35,0.07,24.620,178.66,127.97,19235.16,1,nan,16712.25,0,nan,18524.25,0,121.00,19142.88,1,59.17,20214.86,1,59.84,18485.29,1
SC6-LPT,0025,02/10/2019,16:31:44.562,11.35,0.07,24.630,178.60,123.29,19264.78,1,nan,16722.40,0,nan,18700.56,0,120.01,19123.15,1,60.84,20241.34,1,58.85,18502.21,1
SC6-LPT,0025,02/10/2019,16:31:49.004,11.35,0.07,24.638,178.89,124.56,19361.15,1,nan,16704.01,0,nan,18452.58,0,123.67,19190.79,1,62.00,20197.73,1,60.22,18466.97,1
SC6-LPT,0025,02/10/2019,16:31:54.446,11.35,0.05,24.644,179.49,127.61,19413.20,1,nan,16715.64,0,nan,18443.78,0,122.68,19140.02,1,63.83,20248.44,1,57.20,18503.75,1
SC6-LPT,0025,02/10/2019,16:32:00.891,11.35,0.09,24.646,179.34,128.07,19363.27,1,nan,16714.99,0,nan,18540.55,0,121.17,19131.63,1,61.67,20214.99,1,59.84,18506.69,1
SC6-LPT,0025,02/10/2019,16:32:05.332,11.35,0.07,24.649,179.28,131.20,19311.51,1,nan,16706.80,0,nan,18489.61,0,119.67,19144.05,1,62.18,20228.26,1,60.39,18524.39,1
SC6-LPT,0025,02/10/2019,16:32:11.774,11.35,0.08,24.654,179.09,129.93,19216.79,1,nan,16697.67,0,nan,18473.10,0,120.67,19136.48,1,62.84,20242.42,1,60.71,18539.23,1
SC6-LPT,0025,02/10/2019,16:32:16.219,11.35,0.07,24.661,178.69,126.56,19306.31,1,nan,16720.44,0,nan,18448.82,0,124.17,19148.49,1,62.67,20223.91,1,59.02,18550.87,1
SC6-LPT,0025,02/10/2019,16:32:22.661,11.35,0.08,24.665,178.92,127.60,19411.46,1,nan,16721.58,0,nan,18451.12,0,126.55,19127.06,1,61.84,20236.77,1,60.08,18510.67,1
SC6-LPT,0025,02/10/2019,16:32:27.103,11.35,0.08,24.671,178.97,125.31,19390.60,1,nan,16707.58,0,nan,18560.98,0,122.50,19130.80,1,62.17,20237.23,1,61.52,18527.64,1
SC6-LPT,0025,02/10/2019,16:32:33.548,11.35,0.06,24.676,178.65,127.38,19328.31,1,nan,16704.16,0,nan,18552.10,0,123.22,19169.84,1,62.17,20224.32,1,61.54,18539.87,1
SC6-LPT,0025,02/10/2019,16:32:38.990,11.35,0.09,24.680,178.71,130.04,19380.14,1,nan,16705.01,0,nan,18438.22,0,121.05,19122.28,1,63.50,20203.09,1,60.38,18595.61,1
SC6-LPT,0025,02/10/2019,16:32:44.431,11.35,0.08,24.684,179.14,125.48,19247.95,1,nan,16715.02,0,nan,18693.83,0,118.83,19160.02,1,62.01,20246.57,1,59.86,18567.80,1
SC6-LPT,0025,02/10/2019,16:32:49.872,11.35,0.07,24.687,177.50,127.77,19245.94,1,nan,16702.50,0,nan,18666.89,0,120.86,19174.98,1,59.14,20208.00,1,59.57,18497.18,1
