In-situ Marine Optics
Optical Backscattering Logger
SC6-LPT (SN:0025)
FIRMWARE: LOG_V1.4d_SC6-LPT_V1
SD LOGFILE = LOG_0047.TXT
---------CONFIGURATION---------
NBURNS = 0
NDARK = 2
NREF = 2
NSIG = 6
DELAY = 100
WAVELENGTHS = [415.1,560.7,634.9,659.6,731.9,850.0]
FWHM = [8.4,8.6,9.6,8.6,7.6,8.4]
DEPTHSLOPE = 173.3439
DEPTHYINT = -55.9511
LOWBATT_TH = 9.0
VLOWBATT_TH = 8.5
---------OUTPUT FORMAT---------
ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
-------------------------------
SC6-LPT,0025,04/10/2019,16:11:18.678,11.30,-0.08,21.244,177.17,64.31,19541.81,1,46.49,19087.21,1,24.19,21107.38,1,42.48,19354.97,1,22.44,21048.53,1,20.90,19189.77,1
SC6-LPT,0025,04/10/2019,16:11:19.222,11.30,-0.06,21.248,177.66,91.25,19498.79,1,59.36,18950.31,1,38.75,20871.17,1,65.94,19177.97,1,36.32,20847.15,1,34.73,19126.42,1
SC6-LPT,0025,04/10/2019,16:11:19.759,11.30,0.02,21.386,176.15,93.82,19320.08,1,64.16,18964.03,1,39.00,20714.35,1,67.66,19216.54,1,39.43,20834.35,1,39.92,19152.12,1
SC6-LPT,0025,04/10/2019,16:11:20.301,11.30,-0.06,21.392,177.25,95.02,19392.49,1,64.04,18924.89,1,41.35,20723.58,1,71.97,19131.46,1,42.01,20821.66,1,36.02,19071.36,1
SC6-LPT,0025,04/10/2019,16:11:20.838,11.30,-0.07,21.531,175.75,93.27,19410.61,1,65.86,18928.60,1,39.87,20868.41,1,75.13,19213.68,1,40.89,20832.94,1,39.85,19007.71,1
SC6-LPT,0025,04/10/2019,16:11:21.378,11.30,0.03,21.536,178.75,94.08,19366.53,1,62.37,18933.97,1,42.37,20852.96,1,71.23,19168.38,1,40.71,20866.63,1,41.87,19021.09,1
SC6-LPT,0025,04/10/2019,16:11:21.917,11.30,-0.07,21.540,179.36,98.42,19474.93,1,63.95,18917.96,1,43.92,20847.31,1,71.89,19146.93,1,42.65,20816.08,1,40.30,19084.17,1
SC6-LPT,0025,04/10/2019,16:11:22.457,11.30,-0.06,21.546,178.88,95.45,19530.64,1,69.98,18927.50,1,48.71,20753.37,1,75.45,19195.39,1,47.56,20812.60,1,51.52,19061.94,1
SC6-LPT,0025,04/10/2019,16:11:22.994,11.30,-0.07,21.691,178.65,nan,11888.07,0,nan,15532.85,0,nan,17576.54,0,1843.59,16746.18,1,53.85,20821.16,1,52.02,19021.05,1
SC6-LPT,0025,04/10/2019,16:11:23.536,11.30,-0.03,21.693,177.83,2806.78,19236.70,1,1759.76,18777.26,1,15231.55,20514.73,1,90.78,19050.22,1,53.34,20831.98,1,51.25,19048.77,1
SC6-LPT,0025,04/10/2019,16:11:24.074,11.30,0.02,21.695,178.55,85.17,19374.60,1,103.42,18912.71,1,794.21,20714.23,1,102.77,19158.44,1,56.50,20821.35,1,53.55,19158.60,1
SC6-LPT,0025,04/10/2019,16:11:24.614,11.30,-0.06,21.702,178.11,102.49,19339.71,1,113.37,18909.17,1,846.52,20784.32,1,106.36,19136.60,1,57.67,20852.42,1,51.17,19158.98,1
