In-situ Marine Optics
Optical Backscattering Logger
SC6-LPT (SN:0025)
FIRMWARE: LOG_V1.4d_SC6-LPT_V1
SD LOGFILE = LOG_0045.TXT
---------CONFIGURATION---------
NBURNS = 0
NDARK = 2
NREF = 2
NSIG = 6
DELAY = 100
WAVELENGTHS = [415.1,560.7,634.9,659.6,731.9,850.0]
FWHM = [8.4,8.6,9.6,8.6,7.6,8.4]
DEPTHSLOPE = 173.3439
DEPTHYINT = -55.9511
LOWBATT_TH = 9.0
VLOWBATT_TH = 8.5
---------OUTPUT FORMAT---------
ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
-------------------------------
SC6-LPT,0025,04/10/2019,15:57:23.680,11.30,0.06,20.845,177.86,82.70,19539.19,1,171.53,19042.35,1,63.74,21038.23,1,91.43,19317.81,1,46.04,20989.71,1,43.19,19234.09,1
SC6-LPT,0025,04/10/2019,15:57:24.223,11.33,0.04,20.849,177.54,104.68,19485.05,1,173.32,18933.25,1,72.62,20895.44,1,104.89,19163.08,1,57.92,20885.53,1,52.20,19089.51,1
SC6-LPT,0025,04/10/2019,15:57:24.760,11.33,0.06,20.997,178.31,103.05,19371.63,1,174.64,18887.60,1,75.87,20813.32,1,110.01,19124.83,1,60.91,20841.07,1,53.44,19138.14,1
SC6-LPT,0025,04/10/2019,15:57:25.303,11.33,0.07,21.000,178.00,105.35,19453.00,1,169.05,18900.75,1,76.84,20757.00,1,108.85,19121.26,1,60.53,20868.23,1,53.58,19129.27,1
SC6-LPT,0025,04/10/2019,15:57:25.839,11.33,0.04,21.004,178.12,107.68,19411.41,1,178.90,18884.97,1,77.06,20717.56,1,109.67,19194.58,1,61.63,20885.58,1,55.42,19118.76,1
SC6-LPT,0025,04/10/2019,15:57:26.378,11.33,0.03,21.143,178.20,111.04,19483.36,1,173.63,18882.47,1,78.90,20708.40,1,109.18,19146.12,1,60.78,20866.04,1,54.48,19085.57,1
SC6-LPT,0025,04/10/2019,15:57:26.917,11.33,-0.01,21.143,177.58,107.02,19373.53,1,171.39,18876.68,1,79.12,20855.45,1,108.17,19135.22,1,62.35,20817.31,1,55.92,19111.79,1
SC6-LPT,0025,04/10/2019,15:57:27.456,11.33,0.06,21.145,177.65,109.82,19347.99,1,174.92,18905.59,1,80.06,20877.01,1,110.88,19171.27,1,63.61,20818.46,1,55.59,19110.29,1
SC6-LPT,0025,04/10/2019,15:57:27.993,11.30,-0.03,21.151,178.08,106.07,19382.04,1,183.32,18857.46,1,80.80,20883.26,1,112.50,19175.25,1,67.98,20857.39,1,56.23,19116.68,1
SC6-LPT,0025,04/10/2019,15:57:28.539,11.33,0.06,21.155,177.90,119.31,19399.69,1,178.72,18898.71,1,79.90,20769.66,1,111.92,19113.49,1,64.90,20844.64,1,55.76,19073.58,1
SC6-LPT,0025,04/10/2019,15:57:29.076,11.33,-0.00,21.158,177.88,113.37,19471.66,1,182.29,18862.69,1,80.01,20649.06,1,115.18,19180.86,1,60.83,20838.05,1,54.87,19099.56,1
SC6-LPT,0025,04/10/2019,15:57:29.616,11.33,-0.01,21.168,177.47,106.62,19393.01,1,184.63,18872.97,1,79.59,20713.12,1,111.84,19145.37,1,67.79,20865.76,1,55.84,19136.02,1
SC6-LPT,0025,04/10/2019,15:57:30.156,11.30,-0.04,21.173,177.26,109.73,19468.40,1,182.40,18876.03,1,79.64,20636.92,1,112.00,19137.72,1,66.55,20834.71,1,57.80,19130.23,1
SC6-LPT,0025,04/10/2019,15:57:30.696,11.33,0.02,21.178,176.88,109.16,19421.38,1,187.84,18883.60,1,77.95,20688.99,1,111.50,19152.15,1,65.10,20851.15,1,58.41,19142.15,1
SC6-LPT,0025,04/10/2019,15:57:31.233,11.33,0.01,21.188,176.76,109.81,19307.69,1,184.55,18861.72,1,77.74,20718.45,1,109.84,19138.88,1,62.44,20810.41,1,57.20,19056.29,1
SC6-LPT,0025,04/10/2019,15:57:31.775,11.33,0.05,21.193,176.70,107.84,19398.37,1,187.09,18892.46,1,79.01,20702.05,1,111.85,19158.88,1,63.85,20831.95,1,58.01,19057.74,1
SC6-LPT,0025,04/10/2019,15:57:32.312,11.33,0.03,21.204,175.06,107.11,19470.20,1,173.49,18870.99,1,82.70,20746.96,1,110.17,19116.93,1,61.68,20858.25,1,55.36,19112.10,1
SC6-LPT,0025,04/10/2019,15:57:32.852,11.33,0.06,21.210,176.26,108.75,19353.81,1,171.20,18874.83,1,81.34,20751.67,1,108.34,19166.57,1,59.95,20796.30,1,55.74,19066.61,1
SC6-LPT,0025,04/10/2019,15:57:33.391,11.33,-0.03,21.214,175.57,104.20,19412.90,1,175.44,18869.13,1,79.32,20823.63,1,110.18,19128.86,1,63.83,20833.68,1,58.03,19078.87,1
SC6-LPT,0025,04/10/2019,15:57:33.931,11.33,0.05,21.225,175.81,105.35,19534.05,1,170.28,18857.56,1,78.75,20703.83,1,108.34,19180.54,1,65.64,20871.44,1,56.79,19091.18,1
SC6-LPT,0025,04/10/2019,15:57:34.468,11.33,0.07,21.231,175.60,110.39,19414.87,1,180.64,18869.13,1,78.95,20750.49,1,108.50,19172.67,1,62.12,20810.72,1,56.79,19179.71,1
