In-situ Marine Optics
Optical Backscattering Logger
SC6-LPT (SN:0025)
FIRMWARE: LOG_V1.4d_SC6-LPT_V1
SD LOGFILE = LOG_0035.TXT
---------CONFIGURATION---------
NBURNS = 0
NDARK = 2
NREF = 2
NSIG = 6
DELAY = 100
WAVELENGTHS = [415.1,560.7,634.9,659.6,731.9,850.0]
FWHM = [8.4,8.6,9.6,8.6,7.6,8.4]
DEPTHSLOPE = 173.3439
DEPTHYINT = -55.9511
LOWBATT_TH = 9.0
VLOWBATT_TH = 8.5
---------OUTPUT FORMAT---------
ID,SN,DD/MM/YYYY,hh:mm:ss.sss,Voltage,Depth,Temp,Tilt,Sig[0],Ref[0],QC_Flag[0],Sig[1],Ref[1],QC_Flag[1],Sig[2],Ref[2],QC_Flag[2],Sig[3],Ref[3],QC_Flag[3],Sig[4],Ref[4],QC_Flag[4],Sig[5],Ref[5],QC_Flag[5]
-------------------------------
SC6-LPT,0025,04/10/2019,15:48:45.674,11.33,-0.04,20.454,150.33,59.11,19489.94,1,43.86,19008.01,1,21.86,21078.04,1,38.54,19282.20,1,22.16,20931.84,1,18.95,19236.83,1
SC6-LPT,0025,04/10/2019,15:48:46.217,11.33,-0.03,20.632,150.72,83.13,19460.48,1,79.80,18863.15,1,36.70,20707.70,1,64.46,19128.86,1,37.46,20789.09,1,33.81,19052.14,1
SC6-LPT,0025,04/10/2019,15:48:47.753,11.33,-0.05,20.640,163.43,85.48,19468.60,1,66.68,18854.55,1,38.92,20811.91,1,70.18,19123.06,1,39.70,20798.42,1,37.74,19068.37,1
SC6-LPT,0025,04/10/2019,15:48:47.296,11.33,-0.04,20.646,174.81,361.73,19270.34,1,4625.94,18859.71,1,13199.11,19864.63,1,nan,15835.87,0,2768.42,17713.75,1,49.46,19109.63,1
SC6-LPT,0025,04/10/2019,15:48:48.832,11.33,0.03,20.652,176.71,90.80,19380.82,1,172.49,18843.25,1,2012.43,18973.05,1,2507.47,18919.33,1,39.82,20705.98,1,50.86,19033.67,1
SC6-LPT,0025,04/10/2019,15:48:48.372,11.33,0.07,20.819,178.26,103.13,19443.94,1,113.86,18841.98,1,58.45,20693.18,1,79.80,19083.54,1,50.17,20766.61,1,48.90,19019.75,1
SC6-LPT,0025,04/10/2019,15:48:49.912,11.33,0.07,20.821,179.42,105.68,19258.15,1,113.90,18843.47,1,67.94,20696.97,1,95.26,19057.18,1,51.01,20785.34,1,51.21,19108.38,1
SC6-LPT,0025,04/10/2019,15:48:49.452,11.33,0.06,20.825,179.55,102.35,19364.26,1,109.22,18834.80,1,69.52,20739.82,1,96.36,19105.66,1,51.18,20758.02,1,51.37,19059.45,1
SC6-LPT,0025,04/10/2019,15:48:50.989,11.33,-0.03,20.835,179.37,103.91,19460.01,1,110.06,18835.14,1,71.61,20653.26,1,99.80,19060.88,1,51.85,20804.66,1,50.85,19027.51,1
